Nederlands;Gronings
Daar zijn ze vaak op een steiger aan het vissen.;Doar binnen ze voak op staaiger aan t vissen.
Dat moet je niet doen!;Dat most nait doun!
Kom nooit te dicht bij de sloot, mijn jongen.;Kom noeit te dicht bie t daip, mien jong.
En zeker niet als het donker begint te worden.;En zeker nait as t duuster begunt te worden.
Weet je wel van die knullen van Diekemoa?;Waist wel van dij knuppels van Diekemoa?
Die wilden niet luisteren en die gingen toch nog vissen, ze wilden een paar dikke palingen vangen.;Dij wollen nait luustern en dij gingen toch nog aan t visken, ze wollen n poar dikke oalen vangen.
Maar daar kom je niet bij de sloot,;Mor doe komst nait bie daip doar,
Want dan, ja dan pakt die... Hebben ze die jongens al wel eens weer gezien.;Want den, joa den pakt die....Hebben ze dij jongens aal wel ais weer zain.
Zitten ze nu op school?;Zitten ze bie op schoul?
Als je bij de sloot komt, dan...' Ik schudde mijn hoofd, dan riep ik heel hard: 'de BOZEKNOR!'.;As t bie daip komst, den....’ Ik schudkopte, den ruip ik hail haard: ‘de BOEZEKNOR!’.
Opa knikte.;Opa knikte.
Ik had het alweer goed geraden.;Ik haar t alweer goud roaden.
En Jampie mijn jongen.;En Jampie mien jong.
Kom ook nooit alleen in het Achterste Bos, daar waar het weg twee kanten op gaat...;kom ook noeit allenneg in t Achterste Bos, doar woardat weg twij kaanten op gaait.......
Achter het hek van Koene, daar zit er een.;achter t hek van Koene, doar zit e.
Ja man o man.;Joa man oh man.
Hij is groen en bruin en zit onder stekels en blaren.;Hai is gruin en broen en zit onder stiekels en bloaren.
Op zijn kop groeien takken en hij heeft zulke grote handen.;Op zien kop gruien takken en hai het zukke grode haanden.
Als je op dat kampje groen land gaat spelen dan komt hij eraan en kruipt en sluipt door het bosgesteente.;As t op dat kampke gruin laand gaaist speulen den komt hai der aan en kroept en sloept deur bosderij.
Als je heel even niet oplett, dan springt hij in één keer vanachter een boom vandaan en...;As je eefkes nait opletten, den in ainen springt e vanachter n boom vot en......
'Dat is de BOSKLOPPER!', riep ik dan...;‘Da’s de BOSKLOPPER!’, ruip ik den....
Ik schrok me al stijf.;sikkom aal stief van schrik.
Opa knikte en nam nog een slok van zijn koffie.;Opa nikkopte en nam nog nslok van zien kovvie.
Die was al koud geworden in de tussentijd.;Dij was aal kold worden in tied.
Opa knikte en lachte heel hard.;Opa knikte en laagde hail haard.
Kopjes trilden dan op tafel.;Kopkes trilden den op toavel.
'En mijn jongen...;‘En mien jong....
Als je bij boer Jonker zijn land door het koren wilt lopen.;ast bie boer Jonker zien laand deur koren lopen wilst.
Nee, nee dat doe je niet.;Nee, nee dou dat nait.
Ook daar is het slim gevaarlijk.;Ook doar is t slim gevoarlek.
Als je door dat koren gaat, dan kom je nooit meer thuis.;Ast deur dat koren gaaist, den komst noeit meer toes.
Het vorig jaar is het ook nog weer verkeerd gegaan.;t Verleden joar is t ook nog weer verkeerd goan.
Balko en zijn kleine broertje.;Balko en zien lutje bruirtje.
Ja, die jongetjes van aardappelboer Hollander, wilden ja niet luisteren.;Joa, dij jonkjes van eerappelboer Hollander, wollen ja nait luustern.
Ze gingen toch het koren in en...;ze gingen wel t koren in en..
En snap hap snap hap snap hap, daar had hij die knullen te pakken en greep ze in de nek.;en snappo snappo snappo, doar haar ze dij knuppels te pakken en greep ze in nek.
Eigen schuld, dikke bult.;Aigen schuld, dikke bult.
In het koren zit...;In t koren zit ‘......
het KORENWIEF!’, fluisterde ik heel zacht.;t KORENWIEF!’, fluusterde ik hail zaacht.
Achter bij het kerkhofpad, waar de laatste drie lantaarns stuk waren.;Achter bie t kerkhofpad, woardat de leste drij lanteerns stuk binnen.
Daar zweven witte wieven uit de sloot, als winkels dichtgaan.;Doar zweven widde wieven oet sloot, as winkels dichtgoan.
dan gaat er maar zo een hond blaffen.;den gaait der morzo n hond aan t blavven.
Hij heeft een grote bek met scherpe tanden.;Hai het n grode bek mit schaarpe tanden.
Zijn ogen zijn soms rood en dan weer geel.;Zien ogen binnen sums rood en den weer geel.
Hij kwijlt erover en hij komt die achterna en dan hap...;Hai kwielt der over en hai komt die achternoa en den hap..
snap...;snap...
hij heeft hem.;het e die.
Ja mijn jongen, dan word je opgegeten door....?;Joa mien jong, den worst opvreten deur....?
Ik piepte erover.;Ik piepte der over.
Het werd buiten ook al zo ontzettend donker.;t Wuir boeten ook aal zo slim donker.
Moet dat nu?;Hou mos dat nou?
Ik moet ja ook nog naar huis.;Ik mos ja ook nog noar hoes.
Opa keek me strak aan. ”Nou dan...????.’ ‘Dan word je opgegeten door ...de BORRIES!’.;Opa keek mie stief aan.” Nou den worst..????.’ ‘Den wordst opvreten deur ...de BORRIES!’.
Opa knikte.;Opa nikkopte.
Ik hoorde het alweer goed.;Ik haar t alweer goud.
En dan wilde ik bij opa op schoot.;En den wol ik bie opa op schoot.
En dan stak opa zijn stinkpijp aan.;En den stak opa zien stinkpiep aan.
De rook prikte in mijn ogen.;De rook prikte in mien ogen.
Het leek net of ik huilde.;t Leek net of ik jaankte.
Dat was ook zeker zo.;Dat was ook sikkom zo.
Ik deed nog wel heel stoer.;Ik dee nog wel hail stoer.
Soms keek ik gauw naar de foto van oma.;Sums keek ik gaauw noar foto van oma.
Ze lachte me toe op de foto en dan ging opa weer verder.;Ze laagde mie tou op foto en den ging opa weer deur.
Ik wist het alomst zo goed.;Ik wist aalmoal zo goud.
Er kwamen er nog twee.;Der kwamen der nog twij.
In de regenput.....;In regenput.....
de kat was al weggelopen en zat onder de tafel.;kat was aal weglopen en zat onder toavel.
Moezenvanger vond het zeker wel genoeg zo.;Moezenvanger von t zeker wel genog zo.
ik greep opa bij zijn schouder en luisterde. O wee, de grijze ging me over de streep.;ik greep opa bie scholder en luusterde.O wee, de grieze ging mie over de graauwe.
Opa’s stoel kraakte en hij zoog nog eens goed aan zijn pijp.....;Opa’s stoul kroakte en hai zoog nog ais goud aan zien piep.....
‘Nou mijn jongen.......?;‘Nou mien jong.......?
Ik hoorde bijna geen stem meer over en ik moest dan ook dringend een plasje doen.;Ik haar hoast gain stem meer over en ik mos den ook neudeg n plas doun.
‘Weet je wel Jampie.;‘Waist ja wel jampie.
Achter het huis zit een diepe, grote regenput.;Achter t hoes zit n daipe, grode regenput.
Hij is zo groot.;Hai is zo groot.
Jongens toch, je kunt er wel in zwemmen.;Jong toch, kinst der wel in zwemmen.
Die daar zit.;Dij doar zit.
Die slaapt het liefst in het diepste water als jullie zakken bij de juf op het potje zitten.;Dij slept t laifst in daipste wotter as jullie beudels bie juf op t kakschoultje zitten.
Weet je wel: kom niet bij de regenput!;Waist t wel: Kom mie nait bie regenput!
Til nooit het deksel op.;Til noeit t deksel op.
Dan wordt hij wakker en dan wordt hij razend.;Den wordt e wakker en den wordt e vergrèld.
Dan klimt hij naar boven.;Den klimt e noar boven.
Nee..;Nee..
Jampie doe dat niet, nee doe dat nooit, want in de regenput.........’ ‘zit JAN HOAK!’.;Jampie dou dat nait, nee dou dat noeit, want in regenput.........’ ‘zit JAN HOAK!’.
Het verhaal was nog niet uit.;t Verhoal was nog nait oet.
‘Nee Jampie, doe dat nooit.’ Ik rilde erover.;‘Nee Jampie, dou dat noeit.’ Ik rilde der over.
Nog één!!;Nog ain!!
‘;‘
Oh, en gisteren nog;Oh, en guster nog
Jampie, hier aan de overkant van de diep in strokerij de buurvrouw;Jampie, hier aan overkaant van t daip in stroekerij het buurvraauw
Buzze ze nog zeiden.;Buzze ze nog zain.
Of was het vorige week.....;Of was t veurege week.....
na zeven uur.;noa zeuven uur.
Het waren er een heleboel, zeiden ze.;t Waren der n haile bult, zee ze.
Het kan ook nog wel half negen geweest zijn.’ Opa keek me aan.;t Kin ook nog wel haalf negen west wezen.’ Opa keek mie den aan.
Hij wreef met zijn hand over mijn rug.;Hai wreef mit zien haand over mien rug.
Ik keek hem dapper terug en fluisterde .....;Ik keek den dapper terug en fluusterde .....
Ik kon mijn stem bijna niet meer horen.;Ik kon mien stem hoast nait meer heuren.
Zo ging het altijd.;Zo ging t altied.
Keer op keer.;Slag veur keer.
Opa luisterde en zei dat keer op keer.;Opa luusterde en zee den slag veur keer.
‘Ik hoor je helemaal niet jong.’ Ik gilde heel hard ‘SUKKERAAIWIEFKE opa.;‘Ik heur die hail nait jong.’ Ik gilpte hail haard ‘SUKKERAAIWIEFKE opa.
Wel twintig.’ Opa knikte.;Wel twinteg.’ Opa nikkopte.
’Nou mijn jong, dat was het verhaal.;’Nou mien jong, dat was t verhoal.
Maar Jampie, kijk eens op de klok.’;Mor Jampie, kiek ais op klok.’
copyright Jan Huttinga op tekens en verhaal.;copyright Jan Huttinga op taikens en verhoal.
‘Ja mijn jong.;‘Joa mien jong.
Sukkeraaiwiefkes.’ Met een grote zwaai zette opa me op de grond.;Sukkeraaiwiefkes.’ Mit n grode zwaai zette opa mie den op grond.
Hij deed de televisie aan en zei dat ik maar naar huis moest gaan.;Den dee e tillevisie aan en zee dat ik mor noar hoes goan mos.
lopend.;lopend.
Hij wilde nu naar het voetbal kijken.;Hai wol nou noar t voetbalen kieken.
Ik wist geen raad meer.;Ik wis mie den gain road.
Lopend, dat deed ik echt niet meer.;Lopend, dat duurde ik ja nait meer.
in geen honderd jaar.;in gain honderd joar.
Televisie ging weer uit en met gepoets en een hoop gestommel kwam de fiets op batterij.;Tillevisie ging weer oet en mit gepoest en n bult gestommel kwam fiets op batterij.
Ik wist ja wel dat er geen voetbal was.;Ik wis ja wel dat der gain voetbalen veur was.
en na dat griezelverhaal bracht hij me achter op de fiets naar huis.;en noa dat griezelverhoal brocht e mie achter op fiets noar hoes.
‘Alles onzin hoor!’, zei hij dan.;‘Aalmoal flaauwekul heur!’, zee e den.
Ja, maar toch.......;Ja, mor toch.......
.....en dan was er nog ‘ONGEBORNEN;.....en den was der nog ‘ONGEBOREN
ROULF’;ROULF’
Mijn pa zei, dat hij in de schuur woonde of op zolder huisde.;Mien pa zee, dat dij in schuur woonde of op zolder hoesde.
Dat mijn pa maar wat uitvond, ik heb hem nooit, nooit, nooit gezien!;Dat het mien pa biemekoar logen, ik heb hom noeit, noeit, noeit zain!
ook dank aan: Bert Wijnholds, Siemon Reker, Jan Siebo Uffen, K. ter Loan, T.internet;ook dank aan: Bert Wijnholds, Siemon Reker, Jan Siebo Uffen, K. ter Loan, T.internet
Grunnegs – een gouden taal K(R)EUZE nr.;Grunnegs – n golden toal K(R)EUZE nr.
0 22-05-2006 redactie:;0 22-05-2006 redaksie:
Verl.Oosterweg 33,;Verl.Oosterweg 33,
Noordhorn (0594-503095) mailadres: jan_b@hetnet.nl rondzendbrief voor liefhebbers rondzendbrief voor liefhebbers;Noordhörn (0594-503095) mailadres: jan_b@hetnet.nl rondzendbraif veur laifhebbers rondzendbrief veur liefhebbers
Inhoud: •;Inhold: •
WAT;WAT
NU;NOU
WEER?;WEER?
• REDACTIE • KEN JE DEZE?;• REDAKSIE • KEN JE DIZZE?
• ZWART GAT • UTOPIA • OP EEN FIETS NAAR DEN HORN WAT NU WEER?;• SWAART GAT • UTOPIA • OP E FIETS NOAR DEN HORN WAT NOU WEER?
Soms moet je doen wat je niet kunt laten, in het Gronings.;Asmis mout je doun wat je nait loaten kinnen, in t Grunnegs.
Zelf wat schrijven, anderen schrijven laten, kennis maken met (on)bekend werk, nieuws, alles wat met en jou (je) voor de voeten komt, of voor de mond.;Zulf wat schrieven, aandern schrieven loaten, kennis moaken loaten mit (on)bekend waark, nijs, aal wat mie en joe (jim) veur de vouten komt, of veur de mond.
Ogen en oren open, klagen, onzin zeggen, of onzinpraat.;Ogen en oren open, groalen, arregat zeggen, of arrejazzes.
Aan vrienden laten lezen, aan familie, aan buren.;Aan vrunden lezen loaten, aan femilie, aan noabers.
En of het nu uit;En of t nou oet
het Oosten komt, of;Oost komt, of
het Noorden, of;Noord, of
Westerwolde, of hier uit het;Westerwolle, of hier uut t
Westerkwartier, wat kan verschillen.;Westerkwartier, wat kint verschelen.
Kom maar op met wat je kwijt wilt: gedichten, verhalen, mopjes, agendanotities....;Kom mor op mit wat je kwiet willen: gedichten, verhoalen, mopkes, agendanijs....
Ik begon met de cursisten van “Gronings voor beginners” die hebben meegedaan in de Dörpsstee.;k Begun mit de kurzisten van “t Grunnegers veur begunners” dij mitdoan hemmen in de Dörpsstee.
Wie geen belang heeft bij K(R)EUZE, geeft het maar even door.;Dij gain belang het bie K(R)EUZE, geft t mor even deur.
Het kan zijn dat er iets moois gaat gebeuren, het kan ook binnen de kortste keren klappen.;t Kin wezen dat er wat moois wazen gait, t kin ook binnen de körtste keren kullen.
REDACTIE Alleen is maar alleen met zijn voor- en nadelen.;REDAKSIE Allenneg is mor allenneg mit zien veurs en tegens.
Maar als er één (of twee, of drie...) willen helpen, is me dat wel wat waard.;Mor as der aine (of twije, of drije...) helpen willen, is mie dat wel wat weerd.
(Kop koffie of thee of zoiets).;(Kop kovvie of thee of zukswat).
Denk er maar even over na, maar niet te lang.;Denk der mor even over, mor nait te laank.
KEN JE DEZE?;KEN JE DIZZE?
Bij toeval ontdekt: www.dideldom.com Gedichten, verhalen, van alles wat.;Bij toeval ondekt: www.dideldom.com Gedichten, verhoalen, van alles wat.
Kijk zelf maar eens.;Kiek zulf mor ies.
Niet bepaald zonder lekken en breuken, maar dan weet je ook weer waarom jullie een cursus hebben gedaan (of moeten doen...);Niet bepoald zunder lek en brek, mor dan wiet je ok weer woarom jim n kurzus doan het (of doen moeten...)
ZWART;SWAART
GAT...;GAT...
Maandagavonden gaan;Smoandagsoavends gain
niet meer naar de Dörpsstee, geen cursusleider;Dörpsstee meer, gain kurzuslaaider
die je met dictees,;Loer dij je mit diktees,
bijbelteksten of werkwoorden als “uittekelen” om de oren slaat.;Biebelteksten of waarkwoorden as “oettiggeln” om d’oren slagt.
Zwart gat na vijftien keer voorlezen, brommen en verhalen van;Swaart gat noa vieftien keer veurlezen, maggeln en verhoal van
Ubel;Ubel
Wierda op stoere woorden uit te hameren (zal dit Gronings zijn?);Wierda op stoere woorden oethippern (zol dit grunnegs wezen?)
Vervolgcursus?;Vervolgkurzus?
Zou kunnen, maar daar moeten we dan wel eerst meer over weten.;Zol kinnen, mor doar mouten we din wel eerst meer over waiten.
Met een stuk of wat mensen hebben we ook al gepraat over zoiets als een leeskring.;Mit n stuk of wat mensen hemmen we ook al proat over zukswat as n leeskringe.
Ho ho, niet dodelijk tegenstribbelen, als je een modernere naam weet....;Ho ho, nait doadelk tegensputtern, as je n nijmoodsere noam waiten....
Kom maar op!;Kom mor op!
Voor de zomervakantie wordt dat niets meer, maar vanaf september is het een aantrekkelijke mogelijkheid.;Veur de zummervekansie wordt dat niks meer, mor vanoaf september ist n aantrekkelke meugelkhaid.
Hoe zetten we dit in de agenda's?;Hou zetten we dit in de staaigers?
• WAT gaan we doen?;• WAT goan we doun?
• WAAR doen we dat?;• WOAR doun we dat?
(Dörpsstee wordt vermeld) • WIE doet er mee?;(Dörpsstee wordt vernijd) • WEL doun der mit?
• WANNEER gaan we kringlezen in het Gronings?;• WANNEER goan we krinkjelezen in t grunnegs?
Iedereen die zich aangesproken voelt, wordt verzocht contact op te nemen met de redactie!;Elkenien die zuk aansproken vuult, wordt verzöcht kontakt op te nemen met redaksie!
UTOPIA waar blijf je land van geluk waar jij niet bent en ik die maak;UTOPIA woar blifst laand van gelok woar doe nait bist en ik die mok
Uit: “Tegelijkertijd”;Oet: “Tougelieks”
Verzamelde;Verzoamelde
Groningse;Grunneger
Gedichten 1977- 1987;Gedichten 1977- 1987
Saul van;Saul van
Messel;Messel
OP;OP
EEN;E
FIETS;FIETS
NAAR;NOAR
DEN;DEN
HORN;HORN
Op de fiets naar;Op e fiets noar
Den;Den
Horn, je kunt je vreemdere dingen denken.;Horn, jim kan je beroerdere dingen denken.
Bewegen is het toverwoord van deze tijd, of niet dan?;Bewegen is t toverwoord van dizze tied, of niet dan?
Nou niet meteen beginnen te kletsen over die fiets van mij, met roestplekken op de stang, het stuur en de velgen.;Nou niet votdoadelk begunnen te kauweln over die fiets van mij, met roestplekken op stang, stuur en velgen.
Dat komt doordat provincie-liefhebbers strooien met zout vanaf het ogenblik dat;Dat komt deurdat pervinsie liefhebbert ien streuen met zolt vanoaf t ogenblik dat
Piet;Piet
Paulesma klaagt over nachtvorst en zoiets.;Paulesma mekkert over nachtvorst en zukswat.
